nomor_polisi,jenis_kendaraan,merk,lokasi,keterangan
B 4293 PQ,Sepeda Motor,Suzuki A100,Biro Umum,Asal-usul/Cara Perolehan melalui Pembelian
B 4384 PQ,Sepeda Motor,Suzuki A100,Biro Umum,Asal-usul/Cara Perolehan melalui Pembelian
B 5469 LQ,Sepeda Motor,Suzuki A100,Biro Umum,Asal-usul/Cara Perolehan melalui Pembelian
B 6380 PUQ,Sepeda Motor,Honda Revo New Spoke,Biro Umum,Asal-usul/Cara Perolehan melalui Pembelian
B 5490 LQ,Sepeda Motor,Suzuki A100,Biro Umum,Asal-usul/Cara Perolehan melalui Pembelian
B 6379 PUQ,Sepeda Motor,Honda Supra XCW,Biro Umum,Asal-usul/Cara Perolehan melalui Pembelian
B 6627 PLQ,Sepeda Motor,Suzuki A100,Biro Umum,Asal-usul/Cara Perolehan melalui Pembelian
B 6814 AQ,Sepeda Motor,Suzuki A100,Biro Umum,Asal-usul/Cara Perolehan melalui Pembelian
B 6059 PBQ,Sepeda Motor,Suzuki A100,Biro Umum,Asal-usul/Cara Perolehan melalui Pembelian
B 6228 BQQ,Sepeda Motor,Suzuki A100,Biro Umum,Asal-usul/Cara Perolehan melalui Pembelian
B 6375 PUQ,Sepeda Motor,Honda Supra XCW,Biro Umum,Asal-usul/Cara Perolehan melalui Pembelian
B 6376 PUQ,Sepeda Motor,Honda Supra XCW,Biro Umum,Asal-usul/Cara Perolehan melalui Pembelian
B 6672 PEQ,Sepeda Motor,Suzuki Smash,Biro Umum,Asal-usul/Cara Perolehan melalui Pembelian
B 4941 EQ,Sepeda Motor,Suzuki A100,Biro Umum,Asal-usul/Cara Perolehan melalui Pembelian
